Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C8",0402,2,100n,
"C11, C12, C15, C3, C9",0603,5,10n,
"C14, C18",0603,2,4.7u,
"C16, C2",0603,2,10u,
"C17, C19",0402,2,10u,
C4,0603,1,2u2,
C5,0603,1,1u,
C6,0402,1,1u,
C7,0402,1,22u,
"D1, D2",0402,2,LTST-C281KRKT,
"D3, D4",D_SOD-523,2,"PESD5V0S1UL,315",
D5,D_SOD-523,1,ESD5Z5.0T1G,
J1,Molex_PicoBlade_53047-0410_1x04_P1.25mm_Vertical,1,53047-0410,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB4105-GF-A-120,
J4,Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal,1,Conn_01x03,
L2,L_Coilcraft_LPS3010,1,1.5u,
"R1, R15, R2, R3, R4, R6",0402,6,10k,
R10,0402,1,1.13k,
"R11, R12, R7, R8",0402,4,1k,
R13,0402,1,200m,
"R14, R5",0402,2,5k1,
R9,0402,1,1.18k,
U1,IC_MLX90632SLD-BCB-000-SP,1,MLX90632SLD-BCB-000-SP,
U2,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,
U3,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm,1,TPS63031DSK,
U4,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,
U6,TSSOP-16_4.4x5mm_P0.65mm,1,DRV8833PW,
