Designator,Mid X,Mid Y,Rotation,Layer
C10,137.977263,-86.282557,45.0,top
C11,116.575,-87.4,0.0,top
C12,124.0,-91.025,270.0,top
C14,143.625,-84.9,180.0,bottom
C15,134.85,-89.75,90.0,top
C16,126.3,-88.1,90.0,top
C17,138.1,-90.5,225.0,top
C18,140.2,-77.075,90.0,bottom
C19,137.189411,-89.510589,225.0,top
C2,142.13505,-86.650253,315.0,top
C3,120.375,-89.1,180.0,top
C4,120.35,-87.4,180.0,top
C5,138.2,-81.8,270.0,bottom
C6,139.78,-64.2,0.0,top
C7,121.4,-67.13,270.0,top
C8,121.4,-65.02,90.0,top
C9,140.95,-71.825,270.0,top
D1,145.085,-82.05,180.0,bottom
D2,145.085,-83.25,180.0,bottom
D3,128.9,-89.8,180.0,top
D4,131.8,-89.8,0.0,top
D5,131.85,-91.75,270.0,bottom
J1,115.947788,-71.551203,60.0,top
J2,130.335,-96.09,0.0,top
J4,146.7,-80.0,90.0,top
L2,143.125,-91.6,45.0,top
R1,120.875,-82.7,90.0,top
R10,138.45,-79.04,270.0,bottom
R11,147.39,-82.1,0.0,bottom
R12,147.41,-83.25,0.0,bottom
R13,113.875,-80.4,90.0,top
R14,128.5,-88.4,180.0,top
R15,120.3,-77.8,180.0,top
R2,120.875,-84.89,270.0,top
R3,113.65,-84.8,270.0,top
R4,113.65,-82.6,270.0,top
R5,132.31,-88.4,0.0,top
R6,139.8,-65.6,180.0,top
R7,142.4575,-69.12,270.0,top
R8,142.4575,-71.23,90.0,top
R9,138.4,-84.3,0.0,bottom
U1,144.8625,-70.4,0.0,top
U2,130.55,-67.2,0.0,top
U3,139.730888,-88.064466,135.0,top
U4,141.6,-81.8,270.0,bottom
U6,117.375,-82.2375,180.0,top
